sno,description,title,author,publishedAt,source,desc_subjectivity,desc_polarity,titl_subjectivity,titl_polarity
68,"Fox News Trump, Putin talk Palestinian peace efforts, North Korea's nukes Fox News Judge Andrew Napolitano sits down with former State Department deputy spokesperson Marie Harf. They discuss President Trump's relationship with Russian President Vladimir Putin…","Trump, Putin talk Palestinian peace efforts, North Korea's nukes - Fox News",Matt Richardson,2018-02-12T23:51:54Z,2,0.0962962963,-0.0518518519,0,0
69,"Fox News Trump Jr., in India, brushes off 'nonsense' accusations about family's business Fox News Donald Trump Jr. arrives for a meeting with journalists in Kolkata, India, Feb. 21, 2018. (Associated Press). Donald Trump Jr., visiting India this week, pushed …","Trump Jr., in India, brushes off 'nonsense' accusations about family's business - Fox News",Lukas Mikelionis,2018-02-22T08:35:40Z,2,0,0,0,0
70,Fox News Liz Peek: Struggling Dems need their own Donald Trump Fox News President Trump slams Democrats for not cheering positive economic news at the State of the Union: 'Can we call that treason? Why not?' Hatred of President Trump is driving our country cr…,Liz Peek: Struggling Dems need their own Donald Trump - Fox News,Liz Peek,2018-02-14T09:01:16Z,2,0.5818181818,0.3424242424,1,0.6
71,Fox News FOX NEWS FIRST: School shooting survivor refuses to stick to CNN 'script'; Trump to speak at CPAC Fox News... Russia Special Counsel Robert Mueller indicts former Trump campaign manager Paul Manafort and aide Rick Gates on tax and bank fraud charges;…,FOX NEWS FIRST: School shooting survivor refuses to stick to CNN 'script'; Trump to speak at CPAC - Fox News,Fox News,2018-02-23T09:46:56Z,2,0.3015873016,0.2023809524,0.3333333333,0.25
72,"Fox News Trump faces rumblings of GOP primary challenge, as he rolls out 2020 team Fox News Citizens United President David Bossie on President Trump announcing plans to run for reelection in 2020. As President Trump gets a jump on 2020 by rolling out his han…","Trump faces rumblings of GOP primary challenge, as he rolls out 2020 team - Fox News",Joseph Weber,2018-02-28T18:21:53Z,2,0.5,0.4,0.5,0.4
73,"Fox News Melania Trump entered US with 'Einstein' visa for those with 'extraordinary ability': report Fox News U.S. first lady Melania Trump arrives to host a luncheon with governors' spouses at the White House in Washington, U.S., Feb. 26, 2018. (Reuters). F…",Melania Trump entered US with 'Einstein' visa for those with 'extraordinary ability': report - Fox News,Amy Lieu,2018-03-02T12:21:35Z,2,0.4444444444,0.1944444444,1,0.3333333333
74,Fox News Trump calls Amazon's deal with Postal Service a 'scam' costing 'billions' Fox News Trump accuses Amazon of a 'Post Office scam' on Twitter; Washington Examiner reporter Steven Nelson provides insight on Trump's Amazon attacks and White House staff sh…,Trump calls Amazon's deal with Postal Service a 'scam' costing 'billions' - Fox News,Joseph Weber,2018-03-31T17:49:27Z,2,0,0,0,0
75,"With criticism from Republicans and Democrats, should Trump reconsider? Former Trump campaign spokesperson Katrina Pierson debates Progressive commentator David Burstein.",Is President Trump's tariff the right move for America?,,2018-03-06T11:20:11Z,2,0,0,0.5357142857,0.2857142857
76,Trump Advisory Board member Paris Dennard and Republican strategist Rick Wilson clash while discussing Stormy Daniels and President Trump.,Panelists erupt over Trump-Stormy Daniels saga,,2018-03-16T22:46:54Z,1,0,0,0,0
77,Trump signs spending bill.,Coming up on 'Fox News Sunday': February 11,,2018-02-10T16:43:05Z,2,0,0,0,0
