sno,description,title,author,publishedAt,source,desc_subjectivity,desc_polarity,titl_subjectivity,titl_polarity,,,,
71,"The Democrats are gearing up for the midterms, emboldened by the apparent razor-thin win by Conor Lamb in a Pittsburgh-area district that Donald Trump carried by 20 points.",The new 'deplorables': Democrats duck as Hillary hits 'backward' voters,Howard Kurtz,2018-03-15T08:41:19Z,2,0.375,0.425,0.4545454545,0.1363636364,,,,
72,"Hillary Clinton told an audience in India that the United States did not ""deserve"" Donald Trump's presidency and these are ""perilous times.""",Hillary Clinton: US did not 'deserve' Trump presidency,Associated Press,2018-03-13T11:13:21Z,2,0,0,0,0,,,,
73,"Commentator and columnist on Clinton blaming everything from misogyny to the FBI for her 2016 presidential loss, accusing Fox News of always trying to 'impeach' her and the emergence of 'Christian privilege' as a leftist target. #Tucker","Tammy Bruce's take: Hillary blame tour, Christian privilege",,2018-04-05T01:02:44Z,2,0.3,-0.025,0,0,,,,
74,Assistant director of Homeland Security Investigations Matthew Allen says they have a directive straight from President Trump to ramp up worksite enforcement operations; Hillary Vaughn reports.,ICE agents ramping up worksite enforcement audits,,2018-03-02T23:35:52Z,2,0.4,0.2,0,0,,,,
75,"'MediaBuzz' host Howard Kurtz weighs in on Hillary Clinton insulting Trump voters once again, this time to explain the outcome of the 2016 election.","Kurtz: Why Clinton invokes racism, sexism to explain 2016",,2018-03-14T20:16:27Z,2,1,-1,0,0,,,,
76,North Dakota Democratic Sen. Heidi Heitkamp said on a radio show this week that it's past time for Hillary Clinton to exit the political landscape.,Heitkamp on when Hillary Clinton will go away: 'Not soon enough',"Eric Bradner, CNN",2018-03-15T16:58:22Z,1,0.175,-0.125,0.5,0,,,,
77,A defiant Hillary Clinton explains why she will not 'get off the public stage and shut up;' reaction on 'The Five.',Is it time for Hillary to withdraw from the public eye?,,2018-03-30T21:19:08Z,2,0.0666666667,0,0.0666666667,0,,,,
78,Indictment states Russians acted to help Trump campaign and hurt Hillary Clinton; lawmakers criticize FBI's dropping the ball on Florida case.,"'Special Report' panel on Russian indictments, FBI's apology",,2018-02-16T23:54:41Z,2,0,0,0.2857142857,0.1785714286,,,,
79,"Tucker: Hillary Clinton's latest comments in her blame game tour for her 2016 election loss sums up the Left's view of America in 2018: A bigoted middle class, holding back progress, that doesn't have legitimate views or aspirations. They're racist, dumb peop…",Tucker: Hillary passé but verbalizes Left's view of America,,2018-03-14T08:30:34Z,2,0.3,-0.0458333333,0,0,,,,
80,New reports suggest people in charge of Russia investigation were focused on protecting Clinton; reaction from Republican Reps. Peter King and John Ratcliffe.,Did members of the intel community try to shield Hillary?,,2018-03-07T00:33:31Z,2,0.4545454545,0.1363636364,0,0,,,,
81,"HLN host S.E. Cupp addresses Melania Trump amid Stormy Daniel's allegations against President Donald Trump, advising Melania to leave her ""jerk of a husband.""",S.E. Cupp to Melania: Don't be like Hillary,,2018-03-28T01:39:24Z,1,0,0,0,0,,,,
82,Rep. Bob Goodlatte says he does not believe the inspector general investigation into the Hillary Clinton email probe will be sufficient.,Goodlatte: Leaks are a serious problem in Washington,,2018-03-03T18:16:42Z,2,0.5,0.05,0.6666666667,-0.3333333333,,,,
83,Hillary Clinton faces backlash after saying married white women voted for Trump because their husbands told them to; reaction on 'Cavuto Live.',Democrats and Republicans slam Clinton over election remarks,,2018-03-17T15:36:25Z,2,0.25,0.1287878788,0,0,,,,
84,"Jennifer Palmieri, author of 'Dear Madam President,' comments on Hillary Clinton's 2016 presidential campaign and obstacles that women face when running for office.","Former aide on Hillary's 'deplorables' remark, new book",,2018-03-28T19:09:49Z,2,0,-0.05,0.2272727273,0.0681818182,,,,
85,"Prominent Democrats, including former President Barack Obama and Hillary Clinton, expressed support Saturday for the March for Our Lives rallies calling for stricter gun control.",Obama and these lawmakers are paying attention,"Clare Foran, CNN",2018-03-24T18:48:35Z,1,0.5,0.25,0,0,,,,
86,"Hillary Clinton urged political action Friday in response to the deadly school shooting in Parkland, Florida, pushing her followers to ""remember these feelings in November, and VOTE.""",Clinton urges political action in response to Parkland shooting,"Dan Merica, CNN",2018-02-16T20:35:02Z,1,0.2,-0.0333333333,0.1,0.05,,,,
87,"On 'Hannity,' Tom Fitton, president of Judicial Watch, and Fox News national security strategist Sebastian Gorka discuss the Mueller indictments and the potential legal ramifications for Hillary Clinton.",Tom Fitton and Sebastian Gorka on the real Russian collusion,,2018-02-21T03:00:39Z,2,0.6,0.1,0,0,,,,
88,Former FBI Director James Comey reportedly says in his upcoming book he wishes he hadn't called Hillary Clinton’s handling of classified information as secretary of state “extremely careless.”,Comey reportedly wishes he'd found 'better way' to describe Clinton's email use,Adam Shaw,2018-04-14T21:59:10Z,2,0.45,-0.25,0.5,0.5,,,,
89,"Hillary Clinton lamented that ""they were never going to let me be president"" on election night in 2016, a new book detailing her  White House bids claims.","Hillary Clinton claimed 'they were never going to let me be president,' new book says",Elizabeth Zwirz,2018-04-21T19:30:22Z,2,0.2272727273,0.0681818182,0.4545454545,0.1363636364,,,,
90,"A new story on Fox News Channel carries this intriguing headline: ""Hillary Clinton, not on ballot, is star of GOP midterm plan.""",The 2018 election is going to be a referendum on Hillary Clinton????,"Analysis by Chris Cillizza, CNN Editor-at-large",2018-04-23T16:03:20Z,1,0.4272727273,0.2181818182,0,0,,,,
91,"Fox News Goodlatte, Gowdy say they struck deal with DOJ for Hillary Clinton probe documents Fox News The Republican chairmen of the House Judiciary Committee and the House Oversight and Government Reform Committee announced Monday that the Justice Department …","Goodlatte, Gowdy say they struck deal with DOJ for Hillary Clinton probe documents - Fox News",Samuel Chamberlain,2018-04-24T01:11:02Z,2,0,0,0,0,,,,
92,Republican congressman from Florida tells Eric Shawn that the former FBI director's actions during the investigation into Hillary Clinton's emails suggests the fix was in.,Rutherford: 'Aghast' at Comey's handling of Clinton probe,,2018-04-16T16:04:13Z,2,0,0,0.9,-0.6,,,,
93,The IG determined former deputy FBI director Andrew McCabe misled investigators about role investigating Hillary Clinton; chief intelligence correspondent Catherine Herridge reports from Washington.,Andrew McCabe lied four times about Clinton investigation,,2018-04-16T15:38:24Z,2,0,0,0,0,,,,
94,Lawmakers call for an Obama administration criminal probe. Fox News senior judicial analyst lays out the case against Hillary Clinton over her emails.,Napolitano: Evidence of Hillary's guilt is overwhelming,,2018-04-19T11:28:46Z,2,0.55,-0.4,1,0.5,,,,
95,"Hillary Clinton lamented that ""they were never going to let me be president"" on election night in 2016, a new book detailing her  White House bids claims.","Hillary Clinton claimed 'they were never going to let me be president,' new book says",Elizabeth Zwirz,2018-04-21T01:26:28Z,2,0.2272727273,0.0681818182,0.4545454545,0.1363636364,,,,
96,"Police released a video Tuesday showing a former financial adviser to Hillary Clinton getting involved in a heated, profanity-laced confrontation with several officers.",Video shows ex-Clinton aide in profanity-laced confrontation with cops,Bradford Betz,2018-04-25T04:51:37Z,2,0,0,0,0,,,,
97,Former Democratic presidential nominee resurfaced again during a surprise appearance at the Grammys to mock the president; reaction and analysis on 'The Five.',Hillary Clinton trolls President Trump at the Grammys,,2018-01-29T22:25:39Z,2,0,0,0,0,,,,
98,"Clinton faces mounting criticism for not firing Burns Strider, a top aide to Clinton's 2008 presidential campaign who was accused of sexual misconduct by a young woman on the staff.",Hillary Clinton attempts to explain why she didn't fire aide,,2018-01-31T16:34:59Z,2,0.5777777778,0.3666666667,0,0,,,,
99,"Fox News Teacher misspells Hillary Clinton's name, leading family to demand apology Fox News A Pennsylvania teacher said he intentionally misspelled Hillary Clinton's name in a letter written by his 11-year-old student. (Rob Inglis/Daily Item). A Pennsylvania…","Teacher misspells Hillary Clinton's name, leading family to demand apology - Fox News",Lucia Suarez Sang,2018-01-31T16:54:20Z,2,0,0,0,0,,,,
100,"Newly revealed texts between Trump-bashing FBI officials Peter Strzok and Lisa Page show the “fix was in” during Hillary Clinton's email probe in 2016, Republican lawmakers say.","New texts show 'fix was in' for Clinton email probe, GOP lawmakers say",Brooke Singman,2018-01-26T16:37:10Z,2,0.4545454545,0.1363636364,0.4545454545,0.1363636364,,,,
101,Hillary Clinton reportedly helped protect a senior adviser to her 2008 presidential campaign after accusations that he repeatedly sexually harassed a young subordinate.,Hillary Clinton protected '08 campaign adviser accused of sexual harassment: report,Brooke Singman,2018-01-26T17:44:59Z,2,0.6166666667,0.3,0.8333333333,0.5,,,,
102,"The accounts retweeted then candidate Donald Trump ten times more than they retweeted his rival Hillary Clinton, according to Twitter's written statement to",Russian bots retweeted Trump almost half a million times in final weeks of 2016 campaign,Donie O'Sullivan,2018-01-27T17:37:56Z,1,0.25,0.25,0.3888888889,-0.0555555556,,,,
103,Hillary Clinton surprised viewers by making an appearance in a pre-taped segment for the 60th Annual Grammy Awards on Sunday night.,Hillary Clinton makes Grammys cameo to mock Trump by reading 'Fire and Fury',Sasha Savitsky,2018-01-29T03:27:04Z,2,0.9,0.1,0,0,,,,
104,"Hillary Clinton emerged from the woods of Chappaqua, New York to crack a joke at President Trump’s expense during Sunday night’s Grammy Awards.",If only Hillary had read a passage from Juanita Broaddrick's book,Todd Starnes,2018-01-29T10:00:21Z,2,0.4545454545,0.1363636364,1,0,,,,
